Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12015,2022-10-27,0.0991711789,-0.00055738,-0.000481921,21,100
Market-Adjusted Model,12017,2022-10-27,-0.193130007,-0.303603857,-0.292783107,21,100
Market-Adjusted Model,12034,2022-10-27,0.0369515376,-0.061286919,-0.062701563,21,100
Market-Adjusted Model,12035,2022-10-27,0.0978333869,-0.003819941,-0.001819713,21,100
Market-Adjusted Model,12036,2022-10-27,0.2060128652,0.0936555952,0.1063597651,21,100
Market-Adjusted Model,12039,2022-10-27,0.1246270478,0.0230844241,0.0249739477,21,100
Market-Adjusted Model,12049,2022-10-27,0.0239521423,-0.068641209,-0.075700958,21,100
Market-Adjusted Model,12052,2022-10-27,0.1350527814,0.0305137323,0.0353996813,21,100
Market-Adjusted Model,12054,2022-10-27,0.0694017674,-0.030548785,-0.030251333,21,100
Market-Adjusted Model,12059,2022-10-27,0.0109410381,-0.088098086,-0.088712062,21,100
Market-Adjusted Model,12060,2022-10-27,0.318813719,0.1827675905,0.2191606189,21,100
Market-Adjusted Model,12062,2022-10-27,0.1866914258,0.0794204366,0.0870383257,21,100
Market-Adjusted Model,12064,2022-10-27,0.0032762991,-0.095946611,-0.096376801,21,100
Market-Adjusted Model,12065,2022-10-27,0.0129595606,-0.086102074,-0.08669354,21,100
Market-Adjusted Model,12066,2022-10-27,0.0337047821,-0.064824458,-0.065948318,21,100
Market-Adjusted Model,12068,2022-10-27,0.1282782177,0.0250365482,0.0286251176,21,100
Market-Adjusted Model,12070,2022-10-27,0.1331191035,0.0326850707,0.0334660034,21,100
Market-Adjusted Model,12075,2022-10-27,0.0427703362,-0.056374599,-0.056882764,21,100
Market-Adjusted Model,12076,2022-10-27,0.0752239708,-0.009402459,-0.024429129,21,100
Market-Adjusted Model,12078,2022-10-27,-0.004854389,-0.101198596,-0.104507489,21,100
Market-Adjusted Model,12082,2022-10-27,-0.018290627,-0.107323248,-0.117943727,21,100
Market-Adjusted Model,12084,2022-10-27,0.179569449,0.0777137524,0.0799163489,21,100
Market-Adjusted Model,12098,2022-10-27,0.0232055253,-0.072086302,-0.076447575,21,100
Market-Adjusted Model,12103,2022-10-27,0.0515844294,-0.047695498,-0.048068671,21,100
Market-Adjusted Model,12105,2022-10-27,0.114058968,0.0120324892,0.0144058678,21,100
Market-Adjusted Model,12109,2022-10-27,-0.061011883,-0.147395155,-0.160664983,21,100
Market-Adjusted Model,12146,2022-10-27,-0.107856246,-0.209360644,-0.207509346,21,100
Market-Adjusted Model,12166,2022-10-27,-0.06206899,-0.155051547,-0.16172209,21,100
Market-Adjusted Model,12189,2022-10-27,0.0714797641,-0.027355406,-0.028173336,21,100
Market-Adjusted Model,12209,2022-10-27,0.2500000198,0.1328041894,0.1503469197,21,100
Market-Adjusted Model,12211,2022-10-27,0.1515521845,0.0470213384,0.0518990844,21,100
Market-Adjusted Model,12219,2022-10-27,0.0783282753,-0.013967277,-0.021324825,21,100
Market-Adjusted Model,12226,2022-10-27,0.2014171244,0.0939919407,0.1017640243,21,100
Market-Adjusted Model,12266,2022-10-27,-0.137587847,-0.212786967,-0.237240947,21,100
Market-Adjusted Model,12287,2022-10-27,0.1214158166,0.0181472493,0.0217627165,21,100
Market-Adjusted Model,12289,2022-10-27,0.0259708754,-0.072926412,-0.073682225,21,100
Market-Adjusted Model,12292,2022-10-27,0.1304687503,0.028488269,0.0308156502,21,100
Market-Adjusted Model,12294,2022-10-27,0.0765378346,-0.018923529,-0.023115266,21,100
Market-Adjusted Model,12295,2022-10-27,0.1348807177,0.0299945724,0.0352276176,21,100
Market-Adjusted Model,12296,2022-10-27,0.1380553378,0.0341567144,0.0384022377,21,100
Market-Adjusted Model,12297,2022-10-27,0.1113467381,0.0115604178,0.011693638,21,100
